 year |                                                         title                                                         | publication_type | autor_type |                                                               authors                                                                
 1978 | On additive partitions of integers.                                                                                   | article          | author     | Krishnaswami Alladi, Paul Erd&ouml;s, V. E. Hoggatt Jr.
 1977 | Hamiltonian cycles in regular graphs of moderate degree.                                                              | article          | author     | Arthur M. Hobbs, Paul Erd&ouml;s
 1977 | On total matching numbers and total covering numbers of complementary graphs.                                         | article          | author     | Amram Meir, Paul Erd&ouml;s
 1977 | Paul Tur&aacute;n, 1910-1976: His work in graph theory.                                                               | article          | author     | Paul Erd&ouml;s
 1977 | On a problem in extremal graph theory.                                                                                | article          | author     | D. T. Busolini, Paul Erd&ouml;s
 1977 | On the chromatic index of almost all graphs.                                                                          | article          | author     | Paul Erd&ouml;s, Robin J. Wilson
 1977 | A note of welcome.                                                                                                    | article          | author     | Paul Erd&ouml;s
 1976 | Partition Theorems for Subsets of Vector Spaces.                                                                      | article          | author     | Bruce Rothschild, Marshall L. Cates, Neil Hindman, Paul Erd&ouml;s
 1976 | On a Ramsey-Tur&aacute;n type problem.                                                                                | article          | author     | B&eacute;la Bollob&aacute;s, Paul Erd&ouml;s
 1975 | On complete subgraphs of r-chromatic graphs.                                                                          | article          | author     | B&eacute;la Bollob&aacute;s, Endre Szemer&eacute;di, Paul Erd&ouml;s
 1975 | On Packing Squares with Equal Squares.                                                                                | article          | author     | Paul Erd&ouml;s, Ronald L. Graham
 1975 | Extension de quelques theoremes sur les densites de series d'elements de n a des series de sous-ensembles finis de n. | article          | author     | Michel Deza, Paul Erd&ouml;s
 1974 | On the connection between chromatic number, maximal clique and minimal degree of a graph.                             | article          | author     | B. Andr&aacute;sfai, Paul Erd&ouml;s, Vera T. S&oacute;s
 1974 | Extremal problems among subsets of a set.                                                                             | article          | author     | Daniel J. Kleitman, Paul Erd&ouml;s
 1974 | Remark on a Theorem of Lindstr&ouml;m.                                                                                | article          | author     | Paul Erd&ouml;s
 1973 | Euclidean Ramsey Theorems I.                                                                                          | article          | author     | Bruce Rothschild, Ernst G. Straus, Joel H. Spencer, Paul Erd&ouml;s, P. Montgomery, Ronald L. Graham
 1973 | On a generalization of Ramsey numbers.                                                                                | article          | author     | Patrik E. O'Neil, Paul Erd&ouml;s
 1973 | On a valence problem in extremal graph theory.                                                                        | article          | author     | Mikl&oacute;s Simonovits, Paul Erd&ouml;s
 1973 | On a Combinatorial Game.                                                                                              | article          | author     | J. L. Selfridge, Paul Erd&ouml;s
 1972 | A note on Hamiltonian circuits.                                                                                       | article          | author     | Paul Erd&ouml;s, Vasek Chv&aacute;tal
 1972 | On some applications of graph theory, I.                                                                              | article          | author     | Amram Meir, Paul Erd&ouml;s, Paul Tur&aacute;n, Vera T. S&oacute;s
 1972 | Ramsey's theorem and self-complementary graphs.                                                                       | article          | author     | Paul Erd&ouml;s, Vasek Chv&aacute;tal, Z. Hedrl&iacute;n
 1971 | On some extremal problems on r-graphs.                                                                                | article          | author     | Paul Erd&ouml;s
 1971 | Imbalances in k-colorations.                                                                                          | article          | author     | Joel H. Spencer, Paul Erd&ouml;s
 1959 | Elementary Divisors of Normal Matrices.                                                                               | article          | author     | Paul Erd&ouml;s
(219 rows)

